terminologyId,description
0,"Old Hepatobiliary Pancreatic Department refset"
1,"concepts for hugh blood pressure"
10,"Orthopedic_Procedure Description"
100,"finding site of fractures"
100000,procedure
1000001000202102,"Enkel plukkliste for begreper i spesialisthelsetjensten i Helseplattformen"
1001000003108,"Signs on examination description"
1001000189107,"Cataract refset"
10011000234109,TEST
101,"General Medicine Description"
101000210108,"Gynaecology subset has been developed to support reporting to National Patient Flow. This does not limit the use of this subset elsewhere in a clinical record"
1011000003105,"Signs on physical examination desc"
1011000189109,"Cervical Cancer"
1021000189101,"Childhood Diarrhea"
1031000189104,Dengue
103491000052103,"urval särskilda vårdrutiner utifrån fattade beslut, uppmärksamhetsinformation"
1041000003106,"Geographic location (all)"
1041000189105,"Iodine deficiency"
1051000189108,Leprosy
1051000202108,"Kjerneliste symptomer/plager"
1061000003107,"testing intentional refset"
1061000189106,"Lymphatic filariasis"
1061000195107,"Healthcare Services"
1071000189102,Malaria
1071000195101,"Healthcare Facility Types"
1081000189100,"Oral Cancer"
1081000195104,"Translations of concepts in de-CH"
1081000202100,"Infeksjonsliste for antibiotika"
1091000189103,"Pregnancy related Anemia"
1091000195102,"Translation of concepts into fr-CH"
1091000202103,"Kjerneliste sykdommer/tilstander"
11,"Orthopedics Description"
11000003104,"Clone of General Practice / Family Practice reference set"
11000057107,"Urval ur Snomed CT för Utbudsprojektet, testversion"
11000202100,"Basisregistrering av tobakksvaner"
11000210104,"NZ SACT administration procedure"
1101000189108,Stroke
1101000195109,"Translation of concepts in it-CH"
1111000189105,Tuberculosis
1111000195106,"Author Speciality"
11122233,Test
1112234,"Test Smoking"
1119410008,"DICOM free set"
11201000202100,"Alle begrep foreslått til HP, uansett hierarki"
1121000195101,authorRole
1131000189100,Cardiology
113461000052109,"urval förekomst av implantat, uppmärksamhetsinformation"
113471000052100,"urval förekomst av transplantat, uppmärksamhetsinformation"
113481000052103,"urval vårdtjänster"
1141000189106,"Cardiothoracic and Vascular Surgery"
1151000189109,Dermatology
1157358007,"Nursing practice concepts"
11581000202109,Bokmål
1161000189107,Emergency
11621000202109,"Only for test"
1171000189103,"Fetal Medicine"
11721000202101,Immunnology_procedures_after_anatomy
1181000189101,Gastroenterology
1191000189104,"General Surgery"
12,Orthopedic_HISTORY
1201000189102,Geriatrics
1201000195101,"Document types"
121000210100,"Rheumatology subset has been developed to support reporting to National Patient Flow. This does not limit the use of this subset elsewhere in a clinical record"
121000269108,"Concepts of symptoms, diagnoses and procedures"
1211000189100,Nephrology
1221000189108,Neurology
1231000189105,Neurosurgery
1234,"RD trying a demo refest"
12345,"A demonstration of the refset tool"
12345001,test
123456,"Diseases of the heart, cardiac vessels and pericardium"
1234567,"Intensional test"
123456768,"PID Additional"
1234567789,"Hepatobiliary Pancreatic Department 2"
123456789,"Test failure of workflow"
12401000202106,Upload
1241000189104,"Obstetrics and Gynecology"
1251000189101,Oncology
1261000189103,Orthopedics
1271000189107,Pediatrics
1271000202107,"Helsenorges referansesett for råd og veiledning"
12711000202103,"Modifikatorer til bruk i Helsedirektoratets retningslinjer"
1281000189109,Psychiatry
1281000202109,"Helsenorges referansesett for anatomi"
1281000245109,Test
12881000202101,"Medicinal product form"
1291000189106,Radiology
1291000202106,"Norwegian directorate reference set for infectious disease in health guidelines"
13,"ORTHOPEDICS_GE DESCRIPTION"
1301000189105,Rheumatology
1301000202105,"Helsedirektoratets referansesett for mikrober i retningslinjer"
131000210103,"General Surgery subset has been developed to support reporting to National Patient Flow. this doens not limit hte use of this subset elsewhere in a clinical record."
1311000202107,"Helsedirektoratets referansesett for virkestoff i retningslinje"
14,"ORTHOPEDIC_Diagnosis Description"
141000181108,"Eesti ABO veregrupid"
141000210106,"Endocrinology subset has been developed to support reporting to National Patient Flow. This not limit to the use of this subset elsewhere in a clinical record"
14751000181109,"Haigustekitajate loetelu, mida kasutatakse NAKIS-e registriteatiste edastamisel."
15,"MEDICATION HISTORY DESCRIPTION"
1501000003103,"To know the"
1531000220102,"Ireland Nursing & Midwifery Quality Care-Metrics Dataset"
1541000220106,"Make Every Contact Count"
1551000220108,"Safeguarding Ireland"
1561000220105,"Health Services Ireland"
16,"ORTHOPEDIC_MEDICATION HISTORY DESCRIPTION"
161000181109,"Võimalikud RhD kuuluvused"
161000202106,"Allergener i kjernejournal referansesett"
1621000202106,Test
16271000003102,"Route of administration"
16301000003104,"Obstetric procedure"
16311000003102,"Allergy to substance"
1681000202107,"Test legemidler"
17,Pediatrics_GE_Description
171000202102,Absoluttlisten
1731000189101,"This refset contains all the concepts regarding the allergy assessment and management in any clinical setup"
1761000202108,"Refset rettigheter på helsenorge.no"
1771000202104,"Norwegian patient portal reference set for health and care services"
18,"Pediatrics_SE Description"
181000181102,"Proovimaterjali uuringu paige"
181000210104,"General paediatric subset for National Patient Flow"
18291000003104,demo
19,"Pediatrics_Endocrinology_FamilyHistory description"
191000210102,"General developmental services subset for National Patient Flow"
1921000202100,"Referansesett for alle SNOMED CT begrep benyttet i  relasjon til covid-19 overvåkning"
1971000202101,"Kjerneliste behandlinger"
1981000202104,"Person på alder, tilstand osv"
198907,"All the clinical concepts used in a set up which deals with allergies are involved in this local set."
1991000202102,"Kjerneliste sykdommer/tilstander"
2,"Dental Description"
2.16.840.1.113883.2.20.3.208,"Test Local Set"
2.16.840.1.113883.2.20.3.210,"AllergyIntoleranceTypeCode 6 concepts total (5 INT + 1 CA)"
20,"Pediatric_Endocrinology_GE  description"
