id	negated	value
4266012	0	<< 405729008 | Afgang af blodig afføring |
11312903	0	<<368208006
11844720	0	<<14669001 | Acute renal failure syndrome (disorder) |
11844721	0	<<609482001 | Induced termination of pregnancy complicated by renal tubular necrosis (disorder) |
11844722	0	<<236426006 | Postoperative acute tubular necrosis (disorder) |
11844723	0	<<236427002 | Post-traumatic acute tubular necrosis (disorder) |
11844724	0	<<57469000 | Miscarriage with acute renal failure (disorder) |
11844725	0	<<200118004 | Post-delivery acute renal failure with postnatal problem (disorder) |
11844726	0	<<129561000119108 | Pre-renal acute kidney injury (disorder) |
11844727	1	<<236432001 | Pulmonary renal syndrome (disorder) |
11844728	0	<<236574008 | Acute rejection of renal transplant (disorder) |
11844729	1	<<236573002 | Very mild acute rejection of renal transplant (disorder) |
11844730	0	<<723189000 | Acute renal insufficiency (disorder) |
11844731	0	<<716864001 | Hemorrhagic fever with renal syndrome (disorder) |
12164857	0	<< 272379006 | Event (event) |
83463814	0	<  223366009 |Healthcare professional (occupation)|
83463815	0	<  43741000 |Site of care (environment)|\nOR <<  224884006 |Location within hospital premises (environment)|\nOR <<  441480003 |Primary care department (environment)|\nOR <<  440654001 |Inpatient environment (environment)|\nOR <<  440655000 |Outpatient environment (environment)|\nOR <<  272497004 |Residential environment (environment)|
83463816	0	<  129843006 |Health management finding (finding)|
83463817	0	<< 409526008 | Personal protective equipment (physical object) |\nOR << 6919005 | Protective clothing material	 device (physical object) |\nOR << 706724001 | Face shield (physical object) |\nOR << 261382003 | Mask (physical object) |\nOR << 52291003 | Glove	 device (physical object) |\nOR << 15922004 | Gown	 device (physical object) |\nOR << 706154004 | Shoe cover (physical object) |\nOR << 465982004 | Surgical hood (physical object) |
83463818	0	<  277973009 |Respiratory equipment (physical object)|  \n  OR <  336589003 |Oxygen equipment (physical object)|  \n  OR <  334943003 |Respiratory appliances (physical object)|  \n  OR <  304077006 |Respiratory system device (physical object)|  \n  OR <  706167001 |Anesthesia and respiratory device (physical object)|
83463819	0	<  429019009 |Finding related to biological sex (finding)|  \n  MINUS <<  302081005 |Finding of sex of baby (finding)|
83463820	0	<  365873007 |Gender finding (finding)|
83463821	0	<  372148003 |Ethnic group (ethnic group)|
83463822	0	<  415229000 |Racial group (racial group)|
83463823	0	<  14679004 |Occupation (occupation)|
83463824	0	<  223496003 |Geographical and/or political region of the world (geographic location)|\n  OR <  365457007 |Foreign travel history finding (finding)|\n  OR <  420008001 |Travel (event)|
83463825	0	<  272497004 |Residential environment (environment)|
83463826	0	<  444148008 |Person in family of subject (person)|
83463827	0	<  365481000 |Finding of household composition (finding)|
83463828	0	<  365483002 |Finding related to care and support circumstances and networks (finding)|
83406305	0	<<386725007 OR <<75367002 OR <<364075005 OR <<431314004 OR <<86290005 OR << 442476006 OR << 442349007 OR <<8499008 OR <<103228002 OR << 271626009 OR << 6942003 OR <<405161002  OR <<440398005 OR <<248592006 OR <<263731006 OR <<248598005 OR <<248565000 OR << 248582003 OR <<364533002 OR <<247433003 OR <<248750004 OR <<226379006 OR << 709017009 OR <<413384008
83406303	0	<< 20262006 OR <<77427003 OR <<288848001 OR <<371632003 OR <<193894004 OR <<443371007 OR <<126664009 OR <<442646005 OR <<419045004 OR <<274710003 OR <<91175000 OR <<271823003 OR <<288849009 OR << 58840004 OR << 9763007 OR << 386661006 OR << 75252003 OR << 3424008 OR <<70944005 OR <<67750007
83463808	0	<< 138389411000119105 OR \n<< 870590002 OR \n<< 870589006 OR \n<< 373895009 OR \n<< 67782005 OR \n<< 674814021000119106 OR \n<< 64779008 OR \n<< 119731000146105 OR \n<< 62914000 OR \n<< 1119304009 OR \n<< 119741000146102 OR \n<< 710027002 OR \n<< 419099009 OR \n<< 128053003 OR \n<< 34095006 OR \n<< 67406007 OR \n<< 3006004 OR \n<< 119981000146107 OR \n<< 1240561000000108 OR \n<< 119751000146104 OR \n<< 25374005 OR \n<< 56265001 OR \n<< 80394007 OR \n<< 389086002 OR \n<< 70944005 OR \n<< 1240541000000107 OR \n<< 90708001 OR \n<< 880529761000119102 OR \n<< 866151004 OR \n<< 59455009 OR \n<< 57653000 OR \n<< 1240531000000103 OR \n<< 1240521000000100 OR \n<< 183676005 OR \n<< 882784691000119100 OR \n<< 1119303003 OR \n<< 870591003 OR \n<< 302846007 OR \n<< 308906005 OR \n<< 91302008 OR \n<< 870588003 OR \n<< 76571007 OR \n<< 415623008 OR \n<< 238149007 OR \n<< 866152006 OR \n<< 429340002 OR \n<< 75570004 OR \n<< 1017214008
83463805	0	<<367336001 OR <<788751009 OR <<234336002 OR <<86553008 OR <<76334006 OR <<108290001 OR <<312235007 OR <<265764009 OR <<313039003
83463811	0	<<444077007 OR <<76978006 OR <<30662005 OR <<414464004 OR <<122435008 OR <<9718006 OR <<122433001 OR <<118147004 OR <<88667002 OR << 60170009 OR << 61911006 OR << 871555000 OR \n<< 871559006 OR << 871556004 OR << 871557008 OR << 871558003 OR << 871560001 OR << 1240461000000109 OR << 1240471000000102
73614884	0	<<840535000 OR <<840536004 OR <<840533007 OR << 870361009 OR << 870362002 OR << 1240411000000107 OR <<1119343008 OR << 1155866009
83463829	0	<<1157196000  OR <<1144997007 OR <<1157197009 OR <<1157108008 OR <<1144998002 OR << 1162646009 OR << 1156257007 OR << 1157107003 OR <<840534001 OR <<1119350007 OR << 1162645008  OR <<409524006 OR <<422181004 OR <<449399005 OR <<386242000 OR <<225368008 OR <<409529001 OR <<409686004 OR <<449390009 OR <<122467006 OR <<77248004 OR <<370832005 OR <<361235007 OR <<170499009 OR <<170500000 OR <<40174006 OR <<225995005 OR <<275827007 OR <<38883000 OR <<29537000 OR <<736762004 OR <<409525007 OR <<410410006 OR <<409522005 OR <<409684001 OR <<409583003 OR <<243791004
83463833	0	<<698608004 OR <<385820004 OR << 736017006 OR << 223426009 OR \n<< 868263005
83463832	0	<<183452005 OR <<305376003 OR <<305351004 OR <<305360007 OR <<32485007 OR <<417005 OR << 107724000 OR << 397821002 OR << 710112000 OR << 429202003
83463835	0	<<40617009 OR <<233573008 OR <<447996002 OR <<243141005 OR <<428311008 OR <<371908008 OR <<371907003 OR <<11140008 OR << 229301009 OR << 431182000 OR << 697984004 OR << 829831000000100 OR <<1156748002 OR <<1156747007
83463836	0	<< 718447001 OR <<79031000119101 OR <<931000119107 OR <<444932008 OR <<763326004 OR <<419991009 OR <<405496006 OR <<22803001 OR <<718085007 OR <<128258000 OR << 371825009 OR << 371820004
83406304	0	<< 21522001 OR << 84387000 OR << 131148009 OR << 29857009 OR << 43724002 OR << 9826008 OR << 49727002 OR << 62315008 OR << 3006004 OR << 267036007 OR << 271807003 OR << 84229001 OR << 103001002 OR << 386661006 OR << 25064002 OR << 66857006 OR << 248567008 OR << 57676002 OR << 79890006 OR << 44169009 OR << 36955009 OR << 30746006 OR << 367391008 OR << 68962001 OR << 68235000 OR << 64531003 OR << 422587007 OR << 162397003 OR << 38880002 OR << 91175000 OR << 46742003 OR << 282145008 OR << 422400008 OR << 56018004 OR << 3415004 OR << 82272006 OR <<• 23924001 OR << 44077006 OR << 26544005
83463810	0	<<260373001 OR <<260415000 OR <<419984006 OR <<125154007 OR << 895231008 OR << 1240581000000104 OR << 1240591000000102 OR << 897035006 OR << 897034005
83463804	0	<<410605003 OR <<410592001 OR <<415684004
83463809	0	<  313333008 |Sample obtained (situation)|\nOR <  168123008 |Sample sent for examination (situation)|
84808603	0	<<419492006 | Additional dosage instructions (qualifier value) |
84808604	0	<<272106006 | Temporal periods of day (qualifier value) |
84808605	0	<<408102007 | Unit dose (qualifier value) |
84808606	0	<<284009009 |Route of administration value (qualifier value)|
84808607	0	<<307157008 | Temporal periods relating to activities (qualifier value) |
84808608	0	<<272123002 | Frequencies (qualifier value) |
84808609	0	<<420247005 | Dosing instruction imperative (qualifier value) |
84808610	0	<<736542009 | Pharmaceutical dose form (dose form) |
84808611	0	<< 732935002 | Unit of presentation (unit of presentation) |
83463803	0	<<410594000 OR 410593006
83463813	0	<< 734427005 OR << 168137004 OR <<697989009 OR <<119297000 OR <<258607008 OR <<258606004 OR <<258500001 OR <<258411007 OR <<258412000 OR <<418564007 OR << 119342007 OR << 119364003 OR <<122610009 OR <<445447003 OR <<119334006 OR <<119339001 OR << 445297001 OR <<472901003 OR <<258529004 OR <<122877000 OR <<309164002 OR <<122575003 OR << 871810001 OR << 461911000124106
83463830	0	<  365581002 |Finding of marital or partnership status (finding)|
83463831	0	<  223369002 |Country (geographic location)|
83463812	0	<< 16332841000119106 OR << 169069000 OR << 399208008 OR << 88628008
83678653	0	<< 78648007 OR << 27624003 OR << 49601007 OR << 414029004 OR << 235856003 OR << 118940003 OR << 50043002 OR << 8517006 OR << 80141007 OR << 107921000119107 OR << 90708001 OR << 363346000 OR << 75934005 OR << 414825006 OR << 414915002 OR << 370388006 OR << 370391006 OR << 77386006 OR << 77176002
54283755	0	<405277009 |legitimerad läkare som gör specialiseringstjänstgöring|
54623570	0	^321000210102
54623572	0	^71000210108
54623573	0	^61000210102
54623574	0	^261000210101
54623575	0	^471000210108
54623576	0	^241000210102
54623577	0	^191000210102
54623578	0	^91000210107
54623579	0	^421000210109
54623580	0	^351000210106
54623581	0	^251000210104
54623582	0	^50931000210104
54623583	0	^391000210104
54623584	0	^501000210102
54623585	0	^461000210102
54623586	0	^451000210100
54623587	0	^101000210108
54623588	0	^131000210103
54623589	0	^181000210104
54623590	0	^141000210106
54623591	0	^50941000210107
54623592	0	^121000210100
54623593	0	^481000210105
54623594	0	^51000210100
54623595	0	^441000210103
58955056	0	<< 50043002 | Disorder of respiratory system (disorder) |
59122067	0	<<118669005 | Procedure on respiratory system (procedure) |
59122068	0	<<183447000 | Admission to respiratory intensive care unit (procedure) |
59122069	0	<<410205005 | Respiratory care assessment (procedure) |
59122070	0	<<410207002 | Respiratory care management (procedure) |
59122071	0	<<408501008 | Emergency hospital admission for chronic obstructive pulmonary disease (procedure) |
59122072	0	<<410198006 | Respiratory function management (regime/therapy) |
59122073	0	<<409523000 | Standard respiratory precautions (procedure) |
59122074	0	<<183507005 | Non-urgent respiratory admission (procedure) |
59122075	0	<<363021009 | Complication of respiratory therapy procedure (disorder) |
59122076	0	<<23426006 | Measurement of respiratory function (procedure) |
60063504	0	<  19829001 |Disorder of lung|  OR  <  301867009 |Edema of trunk|
83463834	0	<< 1142182006 OR << 1142181004 OR << 1145003007 OR << 1145035007 OR << 1145034006 OR << 1145023008 OR << 1145033000 OR << 1145030002 OR << 1145022003 OR << 1145032005 OR << 1145029007 OR <<1157195001 OR <<1157106007 OR <<1162644007 OR <<1157198004 OR <<1157200005 OR <<1157199007 OR <<1157201009 OR <<1157113007 OR <<1157120000 OR <<1162648005 OR <<1162650002 OR <<1157110005 OR <<1157118003 OR <<1162647000 OR <<1162649002 OR <<1156270003 OR <<1156746003 OR <<1156256003 OR <<1156267002 OR <<1156265005
64793764	0	(((<<102572006 |ödem i ben| OR <<444848005 |ryggödem|) MINUS <<403385000 |lymfödem i ben|) MINUS <<65605001 |ryggmärgsödem|) OR (271808008 |generaliserat ödem|) OR (248499004 |ödem i lågt belägna kroppsdelar|)
65550905	0	< 410720000 | Pain by sensation quality (finding) | : [0..0] {363698007 |Finding site (attribute)| = *}
70418703	0	< 118598001 |Property (qualifier value)|
81468671	0	<185823004 | Finding of skin texture (finding) |
81468669	0	<< 417746004
82000905	0	<< 417163006
82814003	0	<< 554461000005103
82814006	0	<<414174009 |Eye observable (observable entity)|
82870605	0	<<363951001 |Pupil observable|
82870606	0	<247010007 |Pupil finding|
82887553	0	< 404684003 |clinical finding|: 363698007 |finding site| = << 66754008 |estructura del apéndice (estructura corporal)|
82916353	0	< 404684003 |clinical finding|: 363698007 |finding site| = <<699602007 |estructura de órgano contenido en la cavidad abdominal propiamente dicha (estructura corporal)|
82916354	1	<<199007008 | Pre-existing hypertensive heart and renal disease complicating pregnancy	 childbirth and the puerperium |
82916355	1	<62484002 | Hepatic fibrosis |
82916356	1	<3738000 | Viral hepatitis |
82916357	1	<318191000009109 | Bacterial hepatitis |
82916358	1	<61401005 | Gastric hemorrhage |
82964803	0	<248982007 |hallazgo relacionado con el embarazo	 parto y puerperio (hallazgo)|
82964804	1	<<366343003 | Birth details - finding |
82964805	1	<<304598004 | Postnatal examination finding |
82964806	1	<<118213005 | Postpartum finding |
82964807	1	<<267272006 | Postpartum coagulation defects |
82964808	1	<<237353000 | Obstetric disorders of breast and lactation |
82964809	1	<<364826005 | Finding related to ability to perform breast-feeding |
82964810	1	<<372046001 | Abnormal glucose tolerance test during pregnancy	 childbirth and the puerperium |
82964811	1	<<289679007 | Finding of size of gravid uterus |
82964812	1	<<289747009 | Finding of measures of gravid uterus |
82964813	1	<<65727000 | Intrauterine pregnancy |
82964814	1	<<289740006 | Finding of contraction state of uterus |
82964815	1	<<289738001 | Uterine contractions normal |
82964816	1	<<249014005 | Finding of shape of pregnant abdomen |
82964817	1	<<289689006 | Finding of arrangement of gravid uterus |
82964818	1	<<289694006 | Finding of sensation of gravid uterus |
82999503	0	< 404684003 |hallazgo clínico (hallazgo)| : 363698007 |Finding site (attribute)| = << 28231008 |estructura de la vesícula biliar (estructura corporal)|
83393054	0	^1157358007 |International Classification for Nursing Practice reference set (foundation metadata concept)|
83463807	0	<< 78648007 OR << 27624003 OR << 49601007 OR << 414029004 OR << 235856003 OR << 118940003 OR << 50043002 OR << 8517006 OR << 80141007 OR << 107921000119107 OR << 90708001 OR << 363346000 OR << 75934005 OR << 414825006 OR << 414915002 OR << 370388006 OR << 370391006 OR << 77386006 OR << 77176002
83463837	0	<< 40733004 |Infectious disease|:\n[1..*] 47429007|Associated with (attribute)|=*\nOR [1..*] 42752001|Due to (attribute)|=*\nOR [1..*] 255234002|After (attribute)|=*\nOR [1..*] 363713009|Has interpretation (attribute)|=*\nOR [1..*] 363714003|Interprets (attribute)|=*\nOR [1..*] 418775008|Finding method (attribute)|=*\nOR [1..*] 419066007|Finding informer (attribute)|=* \nOR [1..*] 246075003|Causative agent (attribute)|=<<410607006|Organism (organism)|
84527704	0	<<936648941000119105
84856204	0	<185823004 |Finding of skin texture (finding)|:363714003 |Interprets (attribute)| = 364530004 |Skin texture (observable entity)|
84856205	1	<<297947008 |Finding of consistency of skin (finding)|
84856206	1	<<366649008 |Finding of thickness of skin (finding)|
84856207	1	<<248194004 |Wrinkled face (finding)|
86468253	0	<<716186003 |No known allergy (situation)|
86727803	0	(*:R246075003 |forårsakende agent|=<<64572001 |sykdom|) OR <<217591008 |Accident due to environmental factor|
86727804	0	(*:R246075003 |forårsakende agent|=<<64572001 |sykdom|)
86803153	0	(<<64572001 |sykdom|:<<47429007 |assosiert med|=*) OR (<<217591008 |Accident due to environmental factor|)
87828860	0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
87935354	0	< 410720000 | Pain by sensation quality (finding) | : [0..0] 363698007 |Finding site (attribute)| = *
87956105	0	< 185823004 |Finding of skin texture (finding)| : 363698007 |Finding site (attribute)| = 39937001 |Skin structure (body structure)| AND [0..0] 363714003 |Interprets (attribute)| = 247428002 |Thickness of skin (observable entity)|
88107454	0	<<419036000 OR <<409822003 OR <<84676004 OR <<49872002
88340403	0	(<< 410942007 |Drug or medicament (substance)|) OR (<< 787859002 |Vaccine product (medicinal product)|)
