id	description	exclusionClause	feedbackEmail	lastModified	lastModifiedBy	moduleId	name	namespace	organization	terminology	version	terminologyHandlerKey	terminologyHandlerUrl	workflowPath	stableUUIDs	inactiveLastModified	refeshDescriptionsLastModified
53	e-Health Suisse refset project	NULL	pero.grgic@e-health-suisse.ch	2022-11-10 10:04:09	pgrgic	900000000000207008	e-Health Suisse	1000195	e-Health Suisse	SNOMEDCT-CH	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
151	Project created for Estonian eHealth Foundation	NULL	NULL	2022-03-11 07:46:18	rlindstrom	11000181102	HWISC Project	1000181	E-Tervis	SNOMEDCT-EE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
157	Project for Danish NRC using Browser	NULL	NULL	2022-08-30 13:22:56	tshird	900000000000207008	DK Project	1000005	DK	SNOMEDCT-DK	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
302	Implementation course training	NULL	arh@ihtsdo.org	2023-01-30 11:59:13	ljones	900000000000445007	Implementation Course Training	1000003	IHTSDO	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
303	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP	NULL	snomed_ct@moh.govt.nz	2022-04-01 14:02:17	tshird	21000210109	NZ Project	1000210	New Zealand Ministry of Health	SNOMEDCT-NZ	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
1001	Inera National Refset Project for the Swedish NRC	NULL	NULL	2022-08-30 10:55:17	lchapman	45991000052106	Inera National Refset Project (do not use)	1000057	Swedish NRC	SNOMEDCT-SE	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
1052	DK Project using terminology server	NULL	cwd@sundhedsdata.dk	2022-08-30 13:22:07	tshird	554471000005108	DK Project 2018	1000005	The Danish Health Data Authority	SNOMEDCT-DK	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-09-29 21:25:21.127000	2020-09-29 21:25:21.127000
1353	This is the project to create the AFIS Refsets	NULL	nrc@hse.ie	2022-04-01 14:02:53	tshird	11000220105	Irish NRC Acute Floor Project	1000220	HSE	SNOMEDCT-IE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2021-09-20 12:38:30.862000	2020-09-29 21:25:23.490000
1354	RDA Test Project	NULL	rda@ihtsdo.org	2023-01-30 12:45:53	rdavidson	900000000000207008	RDA Test Project	1000188	IHTSDO	SNOMEDCT-DK	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
1402	Irish ED Project	NULL	nrc@hse.ie	2022-04-01 14:02:36	tshird	11000220105	Irish ED Project	1000220	HSE Ireland	SNOMEDCT-IE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-09-29 21:25:23.959000	2020-09-29 21:25:23.959000
1451	Nutrition & Dietetics	NULL	rda@ihtsdo.org	2022-12-19 17:15:09	cpapoutsakis	900000000000207008	Nutrition & Dietetics	1000003	IHTSDO	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
1653	DK Training Project (Termserver)	NULL	NULL	2022-08-30 13:25:39	tshird	554471000005108	Danish Training Project	1000005	NULL	SNOMEDCT-DK	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-09-30 16:46:27.487000	2020-09-30 16:46:55.719000
1701	Project for the Estonian NRC	NULL	andmekorraldus@tehik.ee	2023-01-27 11:06:16	rwood	11000181102	Estonian NRC Project	1000181	TEHIK	SNOMEDCT-EE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2023-01-27 11:06:16.169000	2022-11-02 12:54:52.382000
1901	Irish NRC Maternal & Newborn Project	NULL	nrc@hse.ie	2022-04-01 14:02:47	tshird	11000220105	Irish NRC Maternal & Newborn Project	1000220	Irish HSE	SNOMEDCT-IE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
2051	Plukklister for sykdom	 symptomer/plager	 behandlinger osv	NULL	Eirik.Hafver.Ronjum@ehelse.no	2022-11-14 08:10:55	eroenjum	51000202101	HelseNorge.no plukklister	1000202	Direktoratet for e-helse	SNOMEDCT-NO	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	SNOMED	1	2022-11-14 08:07:01.930000	2022-11-14 08:10:54.624000
2053	This project is linked directly to the MS Authoring platform and therefore contains unpublished content in the current authoring cycle.	NULL	NULL	2023-02-06 16:01:43	rwood	45991000052106	Sweden NRC Project	1000052	Swedish NRC	SNOMEDCT-SE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2023-02-06 16:01:42.787000	2023-02-06 13:55:55.237000
2101	New project using Snowowl	NULL	NULL	2023-02-05 10:19:59	rwood	45991000052106	Inera National Refset Project	1000057	Swedish NRC	SNOMEDCT-SE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2023-02-05 10:16:50.648000	2023-02-05 10:19:58.765000
2153	New Project linked to MS Authoring Platform	NULL	snomed_ct@moh.govt.nz	2022-10-20 23:58:32	rwood	21000210109	New Zealand Refset Project	1000210	New Zealand Ministry of Health	SNOMEDCT-NZ	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-09-05 13:33:15.992000	2022-02-17 17:27:26.818000
2705	Project containing all the refsets for the official Belgian Extension	NULL	terminologie@health.fgov.be	2022-10-26 14:51:46	rwood	11000172109	Belgian Extension Project	1000172	BE NRC	SNOMEDCT-BE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-10-24 09:57:42.322000	2020-09-29 21:25:29.358000
2853	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.	NULL	arh@ihtsdo.org	2022-01-21 18:06:56	rwood	900000000000445007	COVID-19 Subsets	1000003	IHTSDO	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	SNOMED	1	2020-09-29 21:25:29.488000	2020-09-29 21:25:29.488000
2953	A-U-S Training for translation	NULL	nrc-help@cdac.in	2022-02-22 04:33:48	apatil	672401000189105	A-U-S test	1000189	NRCeS	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
2957	Patient Friendly Terms Extension	NULL	nrc-help@cdac.in	2022-03-22 07:48:42	mmantri	672381000189105	Patient Instructions Extension	1000189	NRC India	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	NULL	NULL
2958	An internal project for piloting the translation tool.	NULL	kim.ann.boyles@ehelse.no	2022-02-03 14:15:51	rwood	51000202101	NO Translation pilot project-April-2020	1000202	NSHT	SNOMEDCT-NO	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	SNOMED	1	2020-09-29 21:25:30.853000	2020-09-29 21:25:30.853000
3106	NZ SACT Refset Project	NULL	snomed_ct@moh.govt.nz	2022-08-10 05:20:57	lmiharsa	21000210109	NZ SACT Refset Project	1000210	NZ Ministry of Health	SNOMEDCT-NZ	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-09-29 21:25:31.646000	2020-09-29 21:25:31.646000
3154	WCI Test MANAGED-SERVICE project	NULL	NULL	2022-04-19 17:40:21	rwood	NULL	WCI Test MANAGED-SERVICE project	NULL	NULL	SNOMEDCT-EE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-10-02 04:20:07.708000	2020-10-02 04:02:45.931000
3353	Project for translating concepts for HEDA system and for managing refsets	NULL	igor.bossenko@kodality.com	2022-10-15 04:04:36	rwood	11000181102	HEDA project	1000181	Kodality OÜ	SNOMEDCT-EE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-09-29 21:25:32.469000	2020-09-29 21:25:32.469000
3456	New Zealand project to develop allied health SNOMED CT content	NULL	snomed_ct@health.govt.nz	2022-08-18 23:00:56	akenworthy	21000210109	New Zealand Allied Health Project	1000210	New Zealand Ministry of Health	SNOMEDCT-NZ	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-09-29 21:25:33.358000	2020-09-29 21:25:33.358000
3553	Irish Gynaecology discharge summary	NULL	NRC@hse.ie	2022-04-01 14:02:42	tshird	900000000000445007	Irish Gynaecology discharge summary	1000220	HSE	SNOMEDCT	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-09-29 21:25:33.538000	2020-09-29 21:25:33.538000
3558	Irish Refset Project	NULL	NRC@hse.ie	2022-11-16 10:39:19	rdavidson	11000220105	Irish Refset Project	1000220	HSE	SNOMEDCT-IE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-11-16 10:39:18.680000	2022-03-25 14:08:40.367000
3654	Vietnam Project	NULL	lbi@ihtsdo.org	2022-11-07 09:09:19	nnguyenthithu	11000269107	Vietnam Project	1000269	IHTSDO	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2020-10-22 06:41:00.338000	2020-10-22 06:41:00.338000
4853	Common German Group	NULL	rda@ihtsdo.org	2023-01-27 13:24:38	rdavidson	61001000107	Common German Group	1001000	IHTSDO	SNOMEDCT-COMDE	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-07-27 13:49:28.454000	2022-12-06 11:18:25.018000
4903	Kvalitetssikring av omgrep knytt til kliniske funn	NULL	ole.kristian.vage@ehelse.no	2022-09-22 12:40:49	ovage	51000202101	HP_kliniske funn	1000202	NSHT	SNOMEDCT-NO	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2021-05-28 11:47:23.211000	2021-05-28 11:47:23.211000
5053	KSA Project for use by the Kingdom of Saudi Arabia	NULL	lbi@ihtsdo.org	2022-09-05 22:55:49	lbird	NULL	KSA Project	NULL	Saudi Health Council	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2021-06-29 07:56:38.338000	2021-06-29 07:56:38.338000
5153	NZ training project for getting familiar with the refset tool	NULL	snomed_ct@health.govt.nz	2022-08-10 14:21:46	lchapman	21000210109	New Zealand Training Project	1000210	Health New Zealand	SNOMEDCT	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2021-07-16 03:16:12.864000	2021-07-16 03:16:12.864000
5253	Czech Translation project	NULL		2022-12-14 17:01:55	rwood	900000000000207008	Czech Translation project	1000279		SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2021-08-23 09:11:06.510000	2021-08-23 09:11:06.510000
6053	Bokmål	NULL	ole.kristian.vage@ehelse.no	2022-01-31 10:09:09	ovage	51000202101	Kvalitetssikring av fastlegesett	1000202	NSHT	SNOMEDCT-NO	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2021-11-11 15:31:32.451000	2021-11-11 15:31:32.451000
6103	Translating of the eHDSI value sets into the Czech language	NULL	NULL	2022-12-08 13:15:46	rdavidson	NULL	Translation eHDSI	1000279	NULL	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2021-11-12 13:40:28.721000	2021-11-12 13:40:28.721000
6303	Übersetzungen BfArM	NULL	NULL	2022-12-07 15:25:38	rwood	NULL	Übersetzungen BfArM	NULL	NULL	SNOMEDCT-CDE	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-01-17 10:24:57.783000	2022-01-17 10:24:57.783000
6353	SNOMED Demo project	NULL	rda@snomed.org	2022-03-02 16:42:38	rdavidson	900000000000207008	SNOMED Demo project	1000003	IHTSDO	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-01-18 12:44:41.353000	2022-01-18 12:44:41.353000
6453	test	NULL	NULL	2022-01-19 10:27:41	adhave		HOSP-EHR	NULL	NULL	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-01-19 10:23:11.185000	2022-01-19 10:23:11.185000
6503	ans	NULL	jrotzsch@haoc.com.br	2022-02-03 14:29:17	jrotzsch	NULL	procedure	NULL	HAOC	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-02-03 14:28:14.630000	2022-02-03 14:28:14.630000
6553	ABCDE related concepts	NULL	uan@sorano.net	2022-02-28 07:19:49	uandersen	51000202101	VitalSigns	1000202	NSHT	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-02-28 07:19:48.215000	2022-02-28 07:19:48.215000
6603	Training Project for the Korean NRC	NULL	NULL	2022-04-14 15:01:04	rwood	11000267109	Korean NRC Training Project	1000267	K-HIS	SNOMEDCT-KR	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-04-12 10:04:09.934000	2022-04-14 08:58:44.864000
6653	Refset project for the Korean NRC	NULL	NULL	2022-06-21 10:00:49	lchapman	11000267109	Korean NRC Refset Project	1000267	K-HIS	SNOMEDCT-KR	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-04-15 00:47:25.876000	2022-06-21 10:00:48.574000
6703	Main Refset Project for Dutch NRC	NULL	NULL	2023-01-24 09:57:49	lchapman	11000146104	Netherlands Refset Project	1000146	NICTIZ	SNOMEDCT-NL	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2023-01-24 09:57:49.029000	2022-05-10 16:21:37.968000
6704	Dutch NRC Training Project	NULL	NULL	2022-05-17 14:17:05	tshird	11000146104	Netherlands Training Project	1000146	NICTIZ	SNOMEDCT-NL	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-05-17 14:17:05.022000	2022-05-10 16:24:41.056000
6753	SHROP	NULL	jussara.macedo@gmail.cpm	2022-05-19 18:22:31	jrotzsch	NULL	jamaica	NULL	MOH	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-05-19 18:22:30.397000	2022-05-19 18:22:30.397000
6803	Encounter Type sub-set	NULL	NULL	2022-06-16 05:28:13	mmantri	NULL	Subset for FHIR	NULL	NULL	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-06-16 05:19:36.650000	2022-06-16 05:19:36.650000
6853	COURSE TRAINING	NULL	xavier.leblanc@health.fgov.be	2022-07-05 08:37:51	lxavier	90000000000044507	IMPLEMENTATION COURSE TRAINING	1000003	MYSELF	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	SNOMED	1	2022-07-05 08:25:24.805000	2022-07-05 08:25:24.805000
6854	PAIN QUALITY SUBSET	NULL	xavier.leblanc@health.fgov.be	2022-07-05 10:51:53	lxavier	900000000000445007	IMPLEMENTATION COURSE REFSET PROJECT	1000003	MYSELF	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-07-05 10:51:52.432000	2022-07-05 10:51:52.432000
6903	Testing	NULL	o.nielsen91@gmail.com	2023-01-18 17:30:38	rwood	51000202101	Testing with Kim	1000202	eHelse	SNOMEDCT-NO	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	SNOMED	1	2022-07-07 09:26:00.353000	2022-07-07 09:26:00.353000
7053	NHS Digital project setting up systems to alert users in clinical systems when they encounter a firearms risk	NULL	thomas.nichols@nhs.net	2022-07-18 12:33:24	tnichols	NULL	Firearms Safety Alerts	NULL	NHS Digital	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	SNOMED	1	2022-07-18 12:32:01.403000	2022-07-18 12:32:01.403000
7103	Pflege-Refsets/ICNP	NULL	NULL	2023-01-27 13:28:38	rdavidson	NULL	Pflege-Refsets/ICNP	NULL	NULL	SNOMEDCT-CDE	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-07-20 12:00:25.441000	2022-07-20 12:00:25.441000
7153	Refsets	NULL	NULL	2022-08-03 13:04:57	fgeier	NULL	Refsets	NULL	NULL	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-03 13:04:55.974000	2022-08-03 13:04:55.974000
7203	Test creation of eNCPT refset	NULL	john.snyder@nih.gov	2022-08-04 13:58:11	jsnyder	900000000000207008	Test eNCPT	NULL	Academy of Nutrition and Dietetics	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-04 13:58:10.643000	2022-08-04 13:58:10.643000
7253	PM system	NULL	NULL	2022-08-14 17:30:18	vvij	NULL	Healaxy	NULL	NULL	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-14 17:30:17.139000	2022-08-14 17:30:17.139000
7303	Project to support implementation course	NULL	NULL	2022-08-18 09:58:33	mstuart	705115006	Implementation Test Project	987654321	Implementation Course	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-18 09:58:32.156000	2022-08-18 09:58:32.156000
7353	New Zealand CanShare Project in partnership with Te Aho o Te Kahu (Cancer Control Agency)	NULL	snomed_ct@health.govt.nz	2022-12-14 12:48:03	lchapman	21000210109	New Zealand CanShare Project	1000210	Health New Zealand	SNOMEDCT	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-18 22:59:40.694000	2022-08-18 22:59:40.694000
7403	IHTSDO Training	NULL	NULL	2022-08-23 05:24:11	vvij	NULL	Implementation Course Training	NULL	NULL	SNOMEDCT	NULL	AUTHORING-INTL	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-23 05:15:26.173000	2022-08-23 05:15:26.173000
7453	gfsda	NULL	NULL	2022-08-23 13:33:01	eroenjum	51000202101	Dåperens kule refsetz	NULL	NULL	SNOMEDCT-NO	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-23 13:32:59.864000	2022-08-23 13:32:59.864000
7503	Prosjekt etablert for å utforske muligheter knyttet til subset-håndtering i PKT	NULL	jorn.andre.jorgensen@ehelse.no	2022-08-25 11:27:39	jajorgensen	51000202101	Demo for PKT	1000202	NSHT	SNOMEDCT-NO	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-25 11:26:44.789000	2022-08-25 11:26:44.789000
7504	Demo for test av verktøy. Denne gangen på versjonert innhold	NULL	jorn.andre.jorgensen@ehelse.no	2022-08-25 11:32:48	jajorgensen	51000202101	Demo for PKT - 2	1000202	NSHT	SNOMEDCT-NO	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-25 11:32:05.883000	2022-08-25 11:32:05.883000
7553	Demoinnspilling for å vise funksjonalitet	NULL	jorn.andre.jorgensen@ehelse.no	2022-08-25 18:27:25	jajorgensen	51000202101	Video-demo	1000202	e-helse	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-25 18:27:00.647000	2022-08-25 18:27:00.647000
7603	Danish Refset Project	NULL	NULL	2022-08-30 13:25:16	tshird	554471000005108	Danish Refset Project	1000005	NULL	SNOMEDCT-DK	NULL	MANAGED-SERVICE	https://prod-snowstorm.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-08-30 13:25:14.568000	2022-08-30 13:25:14.568000
7703	For Implementation course training	NULL	arh@ihtsdo.org	2022-09-22 01:37:35	sthawillarp	900000000000445007	IHTSDO My Test Project	1000003	MOPH Test	SNOMEDCT	NULL	PUBLIC-BROWSER	https://prod-browser.ihtsdotools.org/snowstorm/snomed-ct	DEFAULT	1	2022-09-22 01:37:33.805000	2022-09-22 01:37:33.805000
