id	terminologyId
10004851	96786655
10004852	23646867
10004853	TMP-emlgjg
10004854	TMP-1owamh
10004856	TMP-1owamh
10004857	TMP-79pc3p
10004858	1501000003103
10033501	141000210106
10033502	351000210106
10033505	421000210109
10033506	101000210108
10033507	391000210104
10033508	TMP-evp7dh
10033515	TMP-ezyhzr
10033526	141000210106
10033527	58181000052100999
10033544	56421000052109
10033548	723264001
10033549	58181000052100
10174402	TMP-hmj5ah
10174404	TMP-hmj5ah
10174406	2361000189102
10174408	TMP-neo7m9
10174410	TMP-u4d2ek
10174415	TMP-p5l9dq
10174416	TMP-xq6xfn
10174417	TMP-49ff8r
10174419	21000188104
10174421	321000210102
10174427	131000210103
10174428	TMP-uq5m51
10174429	TMP-tzjhah
10174430	TMP-91v3nj
10174432	TMP-w9fpbj
10174433	191000210102
10174434	181000210104
10174435	461000210102
10174436	451000210100
10174437	471000210108
10174439	TMP-nwujn9
103	716891004
10674254	TMP-aoiaao
10674255	TMP-ftynwd
10674257	TMP-7w9h41
10674862	1119410008
10674865	TMP-ricit9
10674866	816080008
10674867	TMP-b9s301
10674868	TMP-6s0ltj
10674870	784308004
10674871	5601000003101
10674872	TMP-5bmk30
10674874	TMP-vw6bvj
10674875	TMP-bjnwn8
10674878	5491000003105
10674879	5581000003109
10975157	5871000003109
10975158	TMP-ou6auy
10975166	5581000003109
10975167	TMP-j2uln7
10975171	TMP-qggtfj
10975172	59041000052103
10975173	5871000003109
11048305	5601000003101
11048307	TMP-0hvimb
11048308	TMP-37v6gr
11048309	TMP-o9a9le
11048310	771000202103
11048312	<<32712000
11065654	481000210105
11096255	TMP-qko74o
11096257	TMP-vm5vsr
11096259	TMP-s528r7
11103501	TMP-8qk714
11103506	450970008
11103508	5491000003105
11103518	TMP-vge4k4
11103519	TMP-wu9ks6
11103521	TMP-kfxmdg
11242551	TMP-lpczm7
11242556	TMP-ks1yjq
11280952	TMP-k0h0uv
11303501	TMP-obcgdi
11311851	441000210103
11311856	TMP-x2kyc0
11311857	TMP-1ypokc
11311858	TMP-sq8wjo
11311864	TMP-ndytm6
11311865	491000210107
11311867	TMP-0kwext
11311869	876
11311870	gpfp
11311878	TMP-57clar
11311880	TMP-usjrea
11311886	501000210102
11311890	421000210109
11311891	351000210106
11311896	481000210105
11466402	58181000052100
11466403	TMP-4nhwxv
11473758	8271000003100
11473759	TMP-xysgn7
11551011	441000210103
11551012	121000210100
11551013	251000210104
11551014	391000210104
11551015	501000210102
11551016	491000210107
11551018	191000210102
11551019	471000210108
11551020	261000210101
11551023	141000210106
11551024	241000210102
11551025	181000210104
11551026	131000210103
11551027	101000210108
11551028	451000210100
11551029	461000210102
11551031	91000210107
11551032	61000210102
11551033	71000210108
11551034	321000210102
11551035	51000210100
11551038	723264001
11551039	141000181108
11551042	161000181109
11551045	56421000052109
11551046	500021000057103
11551049	500141000057107
11627207	TMP-36s7kw
11627216	500091000057101
11627217	500121000057102
11627218	500091000057101
11651157	181000181102
11651158	201000181103
11651159	331000181103
11651160	361000181106
11651163	500151000057109
11651164	712768323888
11651165	456847345
11651166	456847345
11651167	712768323948
11651168	23645832341
11651169	321000181100
11651170	261000181104
11651171	241000181100
11651172	281000181106
11651173	251000181102
11651174	301000181107
11651175	231000181107
11651176	221000181105
11651177	311000181109
11651178	271000181109
11651179	291000181108
11651180	1
11651181	FDB1
