id	negated	value
10004901	\0	<< 49062001 | Device (physical object) |
10004902		<< 705178002 | Physical therapy device (physical object) |
10004903		<59432006 | Ligature, device (physical object) |
10004904	\0	<< 405944004
10047001	\0	<<264395009 | Microorganism (organism) |
10047002	\0	<< 429040005 |Ulcer (disorder)|
10047009	\0	<< 95345008
100696353	\0	< 20795001 |Structure of skin region (body structure)| OR < 185823004 |Finding of skin texture (finding)|  OR < 276323006 |Finding of color of skin (finding)| OR < 297971001 |Finding of sensation of skin (finding)|
100696354	\0	< 185823004 |Finding of skin texture (finding)|  OR < 276323006 |Finding of color of skin (finding)| OR < 297971001 |Finding of sensation of skin (finding)|
100696355	\0	< 185823004 |Finding of skin texture (finding)|  MINUS (< 297947008 |Finding of consistency of skin (finding)|  OR < 366649008 |Finding of thickness of skin (finding)|)
100922803	\0	<< 303533002 |gewrichtsimplantaat van heup (fysiek object)|
100922804	\0	<< 304124003 |gewrichtsimplantaat van schouder (fysiek object)|
100922805	\0	<< 705870006 |implanteerbare polsprothese (fysiek object)|
100922806	\0	<< 705889006 |implanteerbare knieprothese (fysiek object)|
100922807	\0	<< 705880005 |implanteerbare elleboogprothese (fysiek object)|
100922808	\0	<< 705871005 |gewrichtsprothese van digitus van hand (fysiek object)|
100922809	\0	<< 705482008 |Female-incontinence urethral barrier (physical object)|
100922810	\0	<< 704802009 |Female fecal incontinence surgical mesh (physical object)|
100922811	\0	<< 702212007 |Male stress urinary incontinence surgical mesh (physical object)|
100922812	\0	<< 469626009 |Hydraulic incontinence treatment system (physical object)|
100922813	\0	<< 261680000 |Artificial urinary sphincter (physical object)|
100922814	\0	<< 469876008 |Intrauterine device, metal-covered (physical object)|
100922815	\0	<< 705847003 |Pelvic organ prolapse surgical mesh (physical object)|
100922816	\0	<< 303619008 |cardiaal implantaat (fysiek object)|
100922817	\0	<< 470646006 |Implantable cardiac monitor (physical object)|
100922818	\0	<< 25937001 |neurostimulator (fysiek object)|
100922819	\0	<< 705565008 |Brain electrical stimulation system (physical object)|
100922820	\0	<< 470726009 |Incontinence-control electrical stimulation system, implantable (physical object)|
100922821	\0	<< 705563001 |Analgesic electrical stimulation system (physical object)|
100922822	\0	<< 462766001 |Interferential electrical stimulation system (physical object)|
100922823	\0	<< 462797002 |Percutaneous incontinence-control electrical stimulation system (physical object)|
100922824	\0	<< 469712005 |Gait-enhancement electrical stimulation system, implantable (physical object)|
100922825	\0	<< 447033006 |nervus-vagusstimulator (fysiek object)|
100922826	\0	<< 706122008 |Implantable infusion pump (physical object)|
100922827	\0	<< 467396002 |Cochlear implant system (physical object)|
100922828	\0	<< 705307001 |Middle ear implant system (physical object)|
100922829	\0	<< 468421000 |botverankerd hoortoestel (fysiek object)|
