terminologyId	description
0	Old Hepatobiliary Pancreatic Department refset
1	Frequently used devices
1	concepts for hugh blood pressure
1	Test DHD met DT
1	Cataract Description
1	Eliminar
1.3.6.1.4.1.12559.11.10.1.3.1.42.10	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.11	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.13	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.14	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.15	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.18	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.19	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.20	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.23	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.28	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.30	MVC5.1.0 kataloogile vastav sisu
1.3.6.1.4.1.12559.11.10.1.3.1.42.8	MVC5.1.0 kataloogile vastav sisu
10	Orthopedic_Procedure Description
100	finding site of fractures
100000	procedure
1000001000202102	Enkel plukkliste for begreper i spesialisthelsetjensten i Helseplattformen
1000001000202102	Enkel plukkliste for begreper i spesialisthelsetjensten i Helseplattformen
1000071000202107	Oversettelse
1000101000202101	Oversettelse av ICNP
1000131000202109	Bokmål
1000141000202103	dont use
1000151000202100	dont use
1000191000202105	Test pupille observable
1000201000202107	Test pupille funn
1000241000202105	Test observable association
1000281000202100	Environmental causes for patient general status
1000281000202100	Environmental causes for patient general status
1000291000202103	External/environmental situations- as of ABCDE emergency
1000331000202107	Internasjonal klassifikasjon for sykepleiepraksis intervensjoner i Norge
1000341000202101	Den tredelen av ICNP-refsettet som omhandler problemområder/diagnoser
1000351000202103	den tredelen av ICNP refsettet som er mål/outcome
1000361000202100	123 tewst
1000391000202108	dfsa
1000391000202108	dfsa
1000401000202106	Test with Global patient set for importing RF2s
1000421000202100	Test with Global patient set
1000501000202105	123
1001000003108	Signs on examination description
1001000189107	Cataract refset
1001000189107	Cataract refset
1001000189107	Cataract refset
10011000234109	TEST
101	General Medicine Description
101000210108	Gynaecology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
101000210108	Gynaecology subset has been developed to support reporting to National Patient Flow. This does not limit the use of this subset elsewhere in a clinical record
101000210108	Gynaecology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
101000210108	Gynaecology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
101000210108	Gynaecology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
101000210108	Gynaecology subset has been developed to support reporting to National Patient Flow. This does not limit the use of this subset elsewhere in a clinical record
101000210108	Gynaecology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
101000210108	Gynaecology subset has been developed to support reporting to National Patient Flow. This does not limit the use of this subset elsewhere in a clinical record
101000210108	Gynaecology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
101000210108	Gynaecology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
1011000003105	Signs on physical examination desc
1011000189109	Cervical Cancer
1011000189109	Cervical Cancer
1011000189109	Cervical Cancer
1021000189101	Childhood Diarrhea
1021000189101	Childhood Diarrhea
1021000189101	Childhood Diarrhea
1031000189104	Dengue
1031000189104	Dengue
1031000189104	Dengue
103491000052103	urval särskilda vårdrutiner utifrån fattade beslut	 uppmärksamhetsinformation
103491000052103	urval särskilda vårdrutiner utifrån fattade beslut	 uppmärksamhetsinformation
103491000052103	urval särskilda vårdrutiner utifrån fattade beslut	 uppmärksamhetsinformation
103491000052103	urval särskilda vårdrutiner utifrån fattade beslut	 uppmärksamhetsinformation
1041000003106	Geographic location (all)
1041000003106	Geographic location (all)
1041000189105	Iodine deficiency
1041000189105	Iodine deficiency
1041000189105	Iodine deficiency
1051000189108	Leprosy
1051000189108	Leprosy
1051000189108	Leprosy
1051000202108	Kjerneliste symptomer/plager
1051000202108	Kjerneliste symptomer/plager
1051000202108	Kjerneliste symptomer/plager
1061000003107	testing intentional refset
1061000189106	Lymphatic filariasis
1061000189106	Lymphatic filariasis
1061000189106	Lymphatic filariasis
106931000003101	descendientes de hipersensibilidad
1071000189102	Malaria
1071000189102	Malaria
1071000189102	Malaria
107241000202101	Oppdatere til ny utgave
1081000189100	Oral Cancer
1081000189100	Oral Cancer
1081000189100	Oral Cancer
1081000202100	Infeksjonsliste for antibiotika
1081000202100	Infeksjonsliste for antibiotika
1081000202100	Infeksjonsliste for antibiotika
1091000189103	Pregnancy related Anemia
1091000189103	Pregnancy related Anemia
1091000189103	Pregnancy related Anemia
1091000202103	Kjerneliste sykdommer/tilstander
1091000202103	Kjerneliste sykdommer/tilstander
1091000202103	Kjerneliste sykdommer/tilstander
1091000202103	Kjerneliste sykdommer/tilstander
1091000202103	Kjerneliste sykdommer/tilstander
