projectId	terminologyId	name	description
2953	TMP-t5aa70	A-U-S test	A-U-S Training for translation
2953	2801000189105	A-U-S test	A-U-S Training for translation
2953	TMP-i5whsa	A-U-S test	A-U-S Training for translation
402	TMP-pn9li5	Anesthesia Project	Anesthesia Project
402	TMP-iwcfvk	Anesthesia Project	Anesthesia Project
402	TMP-5ev02m	Anesthesia Project	Anesthesia Project
402	Pedi R Airways	Anesthesia Project	Anesthesia Project
1854	18291000003104	Annes demo project	A description
1854	TMP-5xizsu	Annes demo project	A description
1854	TMP-axttou	Annes demo project	A description
1854	TMP-aiqapi	Annes demo project	A description
1854	TMP-9eyqpm	Annes demo project	A description
1854	TMP-1vb5kh	Annes demo project	A description
156	31000151104	Apache IV Reasons for Admission Mapping	A refset (or two) for a mapping from SNOMED CT to the APACHE IV Reasons for Admission
154	31000151104	Apache IV Reasons for Admission Mapping	This project manages the files needed for a mapping from SNOMED CT to the APACHE IV Reasons for Admission
4053	TMP-4mga1t	Armenian Project	Armenian Project
4053	TMP-h0l621	Armenian Project	Armenian Project
4053	TMP-7hcla7	Armenian Project	Armenian Project
4053	TMP-2iuazs	Armenian Project	Armenian Project
4053	TMP-vmi33c	Armenian Project	Armenian Project
1852	TMP-7iwe16	Austrian Demo Project	Austrian Demo Project
5603	TMP-0kb7ew	Austrian Training Project	Training Project for the Austrian Extension
5603	10011000234109	Austrian Training Project	Training Project for the Austrian Extension
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3453	TMP-jlekvt	BE Import Project	BE Import Project
803	TMP-gc1pyc	Belgian Demo project	Belgian Demo project
803	TMP-1hi4o1	Belgian Demo project	Belgian Demo project
803	TMP-9yl9u5	Belgian Demo project	Belgian Demo project
803	TMP-s1h0yk	Belgian Demo project	Belgian Demo project
803	TMP-zg9722	Belgian Demo project	Belgian Demo project
803	TMP-v9ntph	Belgian Demo project	Belgian Demo project
803	TMP-ms1r98	Belgian Demo project	Belgian Demo project
803	TMP-hxps9v	Belgian Demo project	Belgian Demo project
803	TMP-ebd6wo	Belgian Demo project	Belgian Demo project
803	TMP-bd4j8v	Belgian Demo project	Belgian Demo project
803	TMP-203i74	Belgian Demo project	Belgian Demo project
803	TMP-edoz91	Belgian Demo project	Belgian Demo project
803	TMP-6zxhpl	Belgian Demo project	Belgian Demo project
803	TMP-th2qv8	Belgian Demo project	Belgian Demo project
803	TMP-25ciim	Belgian Demo project	Belgian Demo project
803	TMP-58juxe	Belgian Demo project	Belgian Demo project
803	TMP-dvgbh4	Belgian Demo project	Belgian Demo project
803	TMP-fx8yt3	Belgian Demo project	Belgian Demo project
803	TMP-zx3z5o	Belgian Demo project	Belgian Demo project
803	TMP-jpoxvu	Belgian Demo project	Belgian Demo project
803	TMP-dh9h4x	Belgian Demo project	Belgian Demo project
803	TMP-00xgxd	Belgian Demo project	Belgian Demo project
803	TMP-0nsjki	Belgian Demo project	Belgian Demo project
803	TMP-c87t5u	Belgian Demo project	Belgian Demo project
803	TMP-lgqyah	Belgian Demo project	Belgian Demo project
803	TMP-w806nq	Belgian Demo project	Belgian Demo project
803	TMP-ckevu4	Belgian Demo project	Belgian Demo project
803	TMP-snkyqu	Belgian Demo project	Belgian Demo project
803	TMP-1nrmfb	Belgian Demo project	Belgian Demo project
803	TMP-i2drd7	Belgian Demo project	Belgian Demo project
803	TMP-1mdnik	Belgian Demo project	Belgian Demo project
803	TMP-4hygfd	Belgian Demo project	Belgian Demo project
803	TMP-9u5v79	Belgian Demo project	Belgian Demo project
803	TMP-i3qwu9	Belgian Demo project	Belgian Demo project
803	TMP-j0jfhm	Belgian Demo project	Belgian Demo project
803	TMP-xu7ux9	Belgian Demo project	Belgian Demo project
803	TMP-5mjt4a	Belgian Demo project	Belgian Demo project
803	TMP-tgw9p0	Belgian Demo project	Belgian Demo project
803	TMP-m5mx9u	Belgian Demo project	Belgian Demo project
803	TMP-mzi157	Belgian Demo project	Belgian Demo project
803	TMP-6xrlab	Belgian Demo project	Belgian Demo project
803	TMP-v8dtkk	Belgian Demo project	Belgian Demo project
803	TMP-remqbo	Belgian Demo project	Belgian Demo project
803	TMP-50zbhk	Belgian Demo project	Belgian Demo project
803	TMP-ht17kd	Belgian Demo project	Belgian Demo project
803	TMP-730obt	Belgian Demo project	Belgian Demo project
803	TMP-2yb5vs	Belgian Demo project	Belgian Demo project
803	TMP-8cqscb	Belgian Demo project	Belgian Demo project
803	TMP-f2s0o6	Belgian Demo project	Belgian Demo project
803	TMP-zkjl47	Belgian Demo project	Belgian Demo project
803	TMP-h0snwp	Belgian Demo project	Belgian Demo project
803	TMP-5bmk30	Belgian Demo project	Belgian Demo project
803	TMP-vw6bvj	Belgian Demo project	Belgian Demo project
803	TMP-bjnwn8	Belgian Demo project	Belgian Demo project
803	TMP-ou6auy	Belgian Demo project	Belgian Demo project
803	TMP-j2uln7	Belgian Demo project	Belgian Demo project
803	<<32712000	Belgian Demo project	Belgian Demo project
803	TMP-kfxmdg	Belgian Demo project	Belgian Demo project
803	TMP-ks1yjq	Belgian Demo project	Belgian Demo project
803	TMP-obcgdi	Belgian Demo project	Belgian Demo project
803	TMP-x2kyc0	Belgian Demo project	Belgian Demo project
803	TMP-1ypokc	Belgian Demo project	Belgian Demo project
803	TMP-ndytm6	Belgian Demo project	Belgian Demo project
803	TMP-oexphe	Belgian Demo project	Belgian Demo project
803	TMP-bny6ae	Belgian Demo project	Belgian Demo project
803	TMP-vor4ly	Belgian Demo project	Belgian Demo project
803	TMP-pcnbaf	Belgian Demo project	Belgian Demo project
803	TMP-c4kzqo	Belgian Demo project	Belgian Demo project
803	TMP-c95llx	Belgian Demo project	Belgian Demo project
803	TMP-eqb0tx	Belgian Demo project	Belgian Demo project
803	TMP-1mtxzm	Belgian Demo project	Belgian Demo project
803	TMP-zzbcuh	Belgian Demo project	Belgian Demo project
803	TMP-jaqmjq	Belgian Demo project	Belgian Demo project
803	TMP-clmkyk	Belgian Demo project	Belgian Demo project
803	TMP-u7jogm	Belgian Demo project	Belgian Demo project
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	721000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	751000172100	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	731000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	741000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	721000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	751000172100	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	731000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	741000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	721000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	751000172100	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	731000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	741000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	TMP-obh9n2	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	TMP-z5unp6	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	40811000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	721000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
