terminologyId	domain
0	Hepatobiliary Pancreatic Department
1	Ophthalmology
10	Orthopedic_Procedure
100000	procedure
1000281000202100	Emergency medicine in broiad sense
101	General Medicine
101000210108	NA
1051000202108	Helsenorge
106931000003101	all
1081000202100	Helsedirektoratet
1091000202103	Helsenorge
11	Orthopedics
11000057107	Procedures
11000202100	NO
11201000202100	Helseplattformen
113388	none
1133881	Nursing
1141000195107	Localization
11621000202109	Translation test
11721000146100	nursing
118491000003109	Cardiac
12	Orthopedic_HISTORY
121000210100	NA
121000269108	Urology
12401000202106	Anatomi
1271000202107	Helsenorge
1281000202109	Helsenorge
1281000245109	Test
1291000202106	Helsedirektoratet
13	ORTHOPEDICS_GE
1301000202105	Helsedirektoratet
131000210103	NA
1311000202107	Helsedirektoratet
14	ORTHOPEDIC_Diagnosis
141000210106	NA
15	MEDICATION HISTORY
1501000003103	Rare disease
158591000003104	Skin Texture Subset
158631000003104	implementation education
16	ORTHOPEDIC_MEDICATION HISTORY
161000202106	Kjernejournal
1621000202106	Translation test
1681000202107	Helsenorge
17	Pediatric_Endocrinology
17	Pediatrics_GE_head to foot
171000202102	Kjernejournal
173991000003100	Module D Assignment
1761000202108	Helsenorge
1771000202104	Helsenorge
18	Pediatrics_SE
181000210104	NA
19	Pediatrics_Endocrinology_FamilyHistory
191000210102	NA
1921000202100	covid-19
1971000202101	Helsenorge
1981000202104	Helsenorge
198907	All allergies
1991000202102	Helsenorge
2.16.840.1.113883.2.20.3.208	PHC
2.16.840.1.113883.2.20.3.210	Immunization
20	Pediatric_Endocrinology_GE
2001000202104	Helsenorge
2081000202106	Helsedirektoratet
21	Pediatric_Obesity clinic_PC
21000003109	Cardiology
21000202108	Dentistry
21000210109	SACT
211000003103	Cardiology
22	Pediatric_Obesity Clinic_FH
221000202107	NORPAT
2231000189101	Opthalmology
23	Pediatric_Thyroid_PC
2361000189102	Test for constraint language
23645832341	Specimen
23671000087102	Immunization
23911000202104	Helsedirektoratet
23941000202103	Helsebiblioteket
23951000202100	Helsebiblioteket
23971000202106	Helsebiblioteket
23981000202108	Helsebiblioteket
24	Pediatric_Thyroid GE
241000210102	NA
241000210102	SACT
25	Dermatology_PC
251000210104	NA
251000210104	SACT
253111000210109	Cancer
253121000210104	SACT
253131000210102	SACT
253141000210105	Cancer
253151000210108	Breast
253211000210102	WHO BB
253221000210107	Breast
253231000210109	Haematology
253231000210109	WHO Haematolymphoid
253241000210101	Cancer
253251000210103	AJCC
253261000210100	Nottingham
253271000210106	cancer
253281000210108	cancer
253291000210105	cancer
253301000210109	Cancer
253311000210106	Cancer
253321000210101	Cancer
253331000210104	Cancer
253341000210107	Cancer
253351000210105	Cancer
253361000210108	Cancer
253371000210102	SACT
253381000210100	SACT
253391000210103	SACT
253401000210100	SACT
253411000210103	SACT
253421000210108	SACT
253431000210105	SACT
253441000210102	SACT
253451000210104	AJCC
253461000210101	AJCC
253471000210107	AJCC
253481000210109	AJCC
253491000210106	AJCC Breast
253491000210106	Breast
253501000210101	AJCC Haematology
253501000210101	Haematology
253511000210104	AJCC Breast
253511000210104	Breast
253521000210109	AJCC Haematology
253521000210109	Haematology
253531000210106	AJCC Breast
253531000210106	Breast
253541000210103	AJCC Haematology
253541000210103	Haematology
253551000210100	AJCC Breast
253551000210100	Breast
253561000210102	AJCC Haematology
253561000210102	Haematology
253571000210108	AJCC Haematology
253571000210108	Haematology
253581000210105	AJCC Haematology
253581000210105	Haematology
253591000210107	AJCC Haematology
253591000210107	Haematology
253601000210102	AJCC Haematology
253601000210102	Haematology
253611000210100	AJCC Haematology
253611000210100	Haematology
253621000210105	AJCC Haematology
253621000210105	Haematology
253631000210107	AJCC Haematology
253631000210107	Haematology
253641000210104	AJCC Haematology
253641000210104	Haematology
253651000210101	AJCC
253661000210103	AJCC
253671000210109	AJCC
253681000210106	AJCC
253691000210108	AJCC
253701000210108	AJCC Breast
253701000210108	Breast
253711000210105	AJCC Haematology
253711000210105	Haematology
253721000210100	AJCC Breast
253721000210100	Breast
253731000210103	AJCC Haematology
253731000210103	Haematology
253741000210106	AJCC Breast
253741000210106	Breast
253751000210109	AJCC Breast
253751000210109	Breast
253761000210107	AJCC Haematology
253761000210107	Haematology
253771000210101	AJCC Haematology
253771000210101	Haematology
253781000210104	AJCC Haematology
253781000210104	Haematology
253791000210102	AJCC Haematology
253791000210102	Haematology
253801000210103	AJCC Haematology
253801000210103	Haematology
253811000210101	AJCC Haematology
253811000210101	Haematology
253821000210106	AJCC Haematology
253821000210106	Haematology
253831000210108	AJCC Haematology
253831000210108	Haematology
253841000210100	AJCC Haematology
253841000210100	Haematology
253851000210102	AJCC Haematology
253851000210102	Haematology
253861000210104	Cancer
253871000210105	Cancer
253871000210105	SACT
26	Dermatology_History of pastillness
260131000146101	Lab
260181000146102	Allergology
261000210101	NA
263321000210108	WHO Haematolymphoid
263331000210105	WHO Haematolymphoid
263341000210102	WHO Haematolymphoid
263351000210104	WHO Haematolymphoid
263361000210101	WHO Haematolymphoid
263511000210105	SACT
263581000210104	AJCC Haematology
27	Dermatology_PersonalHistory
27011000202108	Helsebiblioteket
28	Dermatology_General Examination
29	Dermatology_Findings
3	General
30	Dermatology_Diagnosis
31	Dermatology_Procedure
31000151104	Intensive Care
31000210106	SACT
31000220100	AFIS
31991000003105	Oral Health
32	Dermatology_Treatment
321000210102	NA
33	OBG_Gynaec_PresentingComplaint
34	OBG_Gynaec_Pastillness
34	OBG_Gynaec_Personal History
35	OBG_Gynaec_FamilyHistory
351000210106	NA
36	OBG_Gynaec_MedicalHistory
37	OBG_Gynaec_GeneralExamination
37	Pediatrics_Presenting Complaints
