AUTHOR, READY_FOR_EDIT, EDIT, IN_EDIT
AUTHOR, READY_FOR_EDIT, REQUEST_REVIEW, READY_FOR_REVIEW
AUTHOR, IN_EDIT, FINISH_EDIT, READY_FOR_EDIT
AUTHOR, IN_EDIT, REQUEST_REVIEW, READY_FOR_REVIEW
AUTHOR, IN_EDIT, REQUEST_PUBLICATION, READY_FOR_PUBLICATION
REVIEWER, READY_FOR_REVIEW, WITHDRAW, READY_FOR_EDIT
REVIEWER, READY_FOR_REVIEW, REVIEW, IN_REVIEW
REVIEWER, IN_REVIEW, REJECT_REVIEW, READY_FOR_EDIT
REVIEWER, IN_REVIEW, ACCEPT_REVIEW, REVIEW_COMPLETED
REVIEWER, IN_REVIEW, UNASSIGN, READY_FOR_REVIEW
AUTHOR, REVIEW_COMPLETED, EDIT, READY_FOR_EDIT
AUTHOR, REVIEW_COMPLETED, REQUEST_REVIEW, READY_FOR_REVIEW
AUTHOR, REVIEW_COMPLETED, REQUEST_PUBLICATION, READY_FOR_PUBLICATION
AUTHOR, READY_FOR_PUBLICATION, FAILS_RVF, READY_FOR_EDIT
AUTHOR, READY_FOR_PUBLICATION, REFSET_PUBLISHED, READY_FOR_EDIT
